LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
M,AVARV03,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/csft/ctrs/cttt,1993-03-12,0,GRAMMEO,*NONE,*NONE,,,14,,,,0.0,0,,,,,,,,,0,0,,AVARV03,AVARV03,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.581,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.517,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV04,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/csft/ctfa/nofa/ctrs/nlot/nano,1993-04-14,0,GRAMMEO,*NONE,*NONE,,,17,,,,0.0,0,,,,,,,,,0,0,,AVARV04,AVARV04,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.591,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.519,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV05,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/csft/ctrs/cttt/cmth/ccon/ctld/...,1993-06-30,0,GRAMMEO,*NONE,*NONE,,,22,,,,0.0,0,,,,,,,,,0,0,,AVARV05,AVARV05,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.601,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.521,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV06,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/csft/ctrs/cttt/cmth/ccon/ctld/...,1993-03-24,0,GRAMMEO,*NONE,*NONE,,,22,,,,0.0,0,,,,,,,,,0,0,,AVARV06,AVARV06,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.611,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.522,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AVARV07,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/darv/ctrs,2002-02-06,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,AVARV07,AVARV07,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:02:03.029,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.524,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BD990201,SPSRCREF,*LF,LF,,QDDSSRC,SPRLIBREF,6,A,csoc/ceta/cdiv/cslo/nomv,1993-02-25,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,BD990201,BD990201,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:59.903,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.526,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BD990211,SPSRCREF,*LF,LF,,QDDSSRC,SPRLIBREF,6,A,csoc/ceta/cdiv/csta/nlot,1994-02-18,0,GRAMMEO,*NONE,*NONE,,,10,,,,0.0,0,,,,,,,,,0,0,,BD990211,BD990211,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:59.969,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.528,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BD990601,SPSRCREF,*LF,LF,,QDDSSRC,SPRLIBREF,6,A,csoc/ceta/cdiv/cslo/nomv/ctrs,2022-06-03,0,GRAMMEO,*NONE,*NONE,,,14,,,,0.0,0,,,,,,,,,0,0,,BD990601,BD990601,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:02:12.009,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.532,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BD9906K1,SPSRCREF,*LF,LF,,QDDSSRC,*NOTFOUND,6,A,csoc/ceta/cdiv/cslo/nomv/ctrs,2022-07-05,0,GRAMMEO,*NONE,*NONE,,,14,,,,0.0,0,,,,,,,,,0,0,,BD9906K1,BD9906K1,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:02:11.986,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.534,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BD990801,SPSRCREF,*LF,LF,,QDDSSRC,SPRLIBREF,6,A,csoc/ceta/cdiv/cste/nlot,1993-04-27,0,GRAMMEO,*NONE,*NONE,,,11,,,,0.0,0,,,,,,,,,0,0,,BD990801,BD990801,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.706,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.538,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
