LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
O,CC1012,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier W :Consommations des titres tous client,1999-09-29,141411,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CC1012,CC1012,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.264,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.824,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,CGINTRA,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ecritures analytiques                 ANAL,2001-11-30,135252,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,CGINTRA,CGINTRA,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.270,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.826,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,COURR,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Valorisation du cours de route,1993-12-07,153414,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,COURR,COURR,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.273,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.827,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,DP1001,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail dépréciation du stock,1996-06-27,103917,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,DP1001,DP1001,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.283,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.829,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,DP1002,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier depreciation du stock  ...,,20010409,180252,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0,0,,,,,,,,,0,,,DP1002,DP1002,SPRLIBREF,SPRLIBREF,,,0,,,,,2022-08-25 16:02:58.291,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.829,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394.0
O,ETIQUET,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,phy fichier ETIQUETTES,1994-03-07,110310,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,ETIQUET,ETIQUET,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.300,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.831,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ETSTOCK,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier travail Stock pour étiquettes,1998-03-12,102451,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,ETSTOCK,ETSTOCK,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.301,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ETSTOCK1,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier travail Stock pour étiquettes,1998-03-12,102500,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,ETSTOCK1,ETSTOCK1,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.302,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,EVFEVENT,SPRLIBREF,*PF,*FILE,PF,,,4,,,2014-06-20,143147,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,EVFEVENT,EVFEVENT,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.303,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,EX0710,SPRLIBREF,*PF,*FILE,PF,,,4,,Constitution fichier valeur d'assurances,2013-06-27,170649,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,EX0710,EX0710,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.304,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
